Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
EDMETIC,EDMETIC,"UNIV CORDOBA, FAC CIENCIAS EDUCACION",2254-0059,2254-0059,EDUCATION & EDUCATIONAL RESEARCH,ESCI,0.4,633/760
Indian Journal of Medical Specialities,INDIAN J MED SPEC,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0976-2884,0976-2892,"MEDICINE, GENERAL & INTERNAL",ESCI,0.4,257/336
International E-Journal of Criminal Sciences,INT E-J CRIM SCI,DMS INT RESEARCH CENTRE,1988-7949,1988-7949,CRIMINOLOGY & PENOLOGY,ESCI,0.4,102/113
Journal of Historical Research in Marketing,J HIST RES MARKETING,EMERALD GROUP PUBLISHING LTD,1755-750X,1755-7518,BUSINESS,ESCI,0.4,302/323
Jurnal Gizi dan Pangan,J GIZI PANGAN,"BOGOR AGRICULTURAL UNIV, DEPT COMMUNITY NUTRITION, FAC HUMAN ECOLOGY",1978-1059,2407-0920,NUTRITION & DIETETICS,ESCI,0.4,107/114
Light & Engineering,LIGHT ENG,ZNACK PUBLISHING HOUSE,0236-2945,N/A,Multiple,SCIE,0.4,360/369
Momona Ethiopian Journal of Science,MOMONA ETHIOP J SCI,"MEKELLE UNIV, COLL NATURAL & COMPUTATIONAL SCIENCES",2073-073X,2073-073X,MULTIDISCIPLINARY SCIENCES,ESCI,0.4,118/140
Neurological Sciences and Neurophysiology,NEUROL SCI NEUROPHYS,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2636-865X,2636-865X,NEUROSCIENCES,SCIE,0.4,324/330
Papeles del CEIC-International Journal on Collective Identity Research,PAPEL CEIC,UNIV PAIS VASCO,1695-6494,1695-6494,SOCIAL ISSUES,ESCI,0.4,56/72
Revista Bio Ciencias,REV BIO CIENC,UNIV AUTONOMA NAYARIT,2007-3380,2007-3380,BIOLOGY,ESCI,0.4,96/106
Revista Brasileira de Direito,REV BRAS DIREITO,FAC MERIDIONAL-IMED,1807-1228,2238-0604,LAW,ESCI,0.4,284/443
Revista de Gestion Publica,REV GEST PUBLICA,CENTRO ESTUDIOS GESTION & POLITICA PUBLICA,0719-1820,0719-1839,PUBLIC ADMINISTRATION,ESCI,0.4,84/97
Revista Espanola de Nutricion Humana y Dietetica,REV ESP NUTR HUM DIE,ASOC ESPANOLA DIETISTAS NUTRICIONISTAS,2173-1292,2174-5145,NUTRITION & DIETETICS,ESCI,0.4,107/114
REVUE HISTORIQUE,REV HISTORIQUE,PRESSES UNIV FRANCE,0035-3264,2104-3825,HISTORY,AHCI,0.4,162/553
Space Science and Technology,SPACE SCI TECHNOL,PUBLISHING HOUSE AKADEMPERIODYKA,1561-8889,2518-1459,ASTRONOMY & ASTROPHYSICS,ESCI,0.4,83/86
Uni-pluriversidad,UNI-PLURIVERSIDAD,"UNIV ANTIOQUIA,GRUPO CHHES",1657-4249,2665-2730,EDUCATION & EDUCATIONAL RESEARCH,ESCI,0.4,633/760
Web Intelligence,WEB INTELL,SAGE PUBLICATIONS INC,2405-6456,2405-6464,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,0.4,207/210
Zbornik Matice Srpske za Likovne Umetnosti-Matica Srpska Journal for Fine Arts,ZB MATICE SRP LIKOVN,MATICA SRPSKA,0352-6844,2787-3099,ART,ESCI,0.4,N/A
Abanico Veterinario,ABANICO VET,SERGIO MARTINEZ GONZALEZ,2007-4204,2448-6132,VETERINARY SCIENCES,ESCI,0.4,154/170
AFINIDAD,AFINIDAD,Assoc Antics Alumnes Inst Quimic Sarria - AIQS,0001-9704,2339-9686,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,0.4,234/250
AIMS Allergy and Immunology,AIMS ALLERGY IMMUNOL,AMER INST MATHEMATICAL SCIENCES-AIMS,2575-615X,2575-615X,IMMUNOLOGY,ESCI,0.4,181/183
Chemical Bulletin of Kazakh National University,CHEM B KAZAKH NAT U,AL-FARABI KAZAKH NATL UNIV,1563-0331,2312-7554,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,0.4,234/250
Composites Research,COMPOS RES,KOREAN SOC COMPOSITE MATERIALS,2288-2103,2288-2111,"MATERIALS SCIENCE, COMPOSITES",ESCI,0.4,35/35
Electronics and Communications in Japan,ELECTR COMMUN JPN,WILEY,1942-9533,1942-9541,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,0.4,360/369
GENETICS AND MOLECULAR RESEARCH,GENET MOL RES,FUNPEC-EDITORA,N/A,1676-5680,GENETICS & HEREDITY,ESCI,0.4,191/192
Genocide Studies International,GENOCIDE STUD INT,UNIV TORONTO PRESS INC,2291-1847,2291-1855,POLITICAL SCIENCE,ESCI,0.4,269/332
Inorganic Materials-Applied Research,INORG MATER-APPL RES,SPRINGERNATURE,2075-1133,2075-115X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,0.4,463/472
Jordan Journal of Chemistry,JORDAN J CHEM,"YARMOUK UNIV, DEANSHIP RESEARCH & GRADUATE STUDIES",1814-9111,2079-7249,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,0.4,234/250
Journal of Food Science and Technology-Ukraine,J FOOD SCI TECHNOL-U,Odesa Natl Univ Technology,2073-8684,2409-7004,FOOD SCIENCE & TECHNOLOGY,ESCI,0.4,182/187
Journal of the Korean Geosynthetic Society,J KOREAN GEOSYNTH SO,KOREAN GEOSYNTHETIC SOC,2508-2876,2287-9528,"ENGINEERING, GEOLOGICAL",ESCI,0.4,64/68
Journal of the Korean Magnetic Resonance Society,J KOREAN MAGN RESON,KOREAN MAGNETIC RESONANCE SOC,1226-6531,1226-6531,BIOCHEMICAL RESEARCH METHODS,ESCI,0.4,85/85
Journal of the Practice of Cardiovascular Sciences,J PRACT CARDIOVASC S,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2395-5414,2454-2830,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,0.4,220/237
Lecturas de Economia,LECT ECON,"UNIV ANTIOQUIA, FAC CIENCIAS ECONOMICAS",0120-2596,2323-0622,ECONOMICS,ESCI,0.4,554/626
Letras Verdes,LET VERDES,"FAC LATINOAMERICANA CIENCIAS SOCIALES-FLACSO, ECUADOR",1390-6631,1390-6631,ENVIRONMENTAL STUDIES,ESCI,0.4,192/202
MEDICINE AND LAW,MED LAW,WILLIAM S HEIN & CO,0723-1393,2471-836X,LAW,ESCI,0.4,284/443
Perspectivas em Ciencia da Informacao,PERSPECT CIENC INF,"UNIV FEDERAL MINAS GERAIS, ESCOLA BIBLIOTECONOMIA",1413-9936,1981-5344,INFORMATION SCIENCE & LIBRARY SCIENCE,ESCI,0.4,136/172
Pharmaceutical Care Espana,PHARM CARE ESP,FUNDACION PHARMACEUTICAL CARE ESPANA,1139-6202,1139-6202,PHARMACOLOGY & PHARMACY,ESCI,0.4,348/356
Postepy Higieny I Medycyny Doswiadczalnej,POSTEP HIG MED DOSW,"POLISH ACAD SCIENCES, INST IMMUNOL & EXP THERAPY",0032-5449,1732-2693,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,0.4,180/191
Revista Chilena de Infectologia,REV CHIL INFECTOL,SOC CHILENA INFECTOLOGIA,0716-1018,0717-6341,INFECTIOUS DISEASES,SCIE,0.4,136/141
Revista de la Federacion Argentina de Cardiologia,REV FED ARGENT CARDI,FEDERACION ARGENTINA CARDIOLOGIA,0326-646X,1666-5694,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,0.4,220/237
Sante Publique,SANTE PUBLIQUE,SOC FRANCAISE SANTE PUBLIQUE,0995-3914,2104-3841,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,0.4,425/443
TECHNICAL PHYSICS,TECH PHYS+,PLEIADES PUBLISHING LTD,1063-7842,1090-6525,"PHYSICS, APPLIED",SCIE,0.4,187/191
Tecnologia y Ciencias del Agua,TECNOL CIENC AGUA,INST MEXICANO TECHNOLOGIA AGUA,0187-8336,2007-2422,Multiple,SCIE,0.4,182/193
THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,THEOR FOUND CHEM EN+,PLEIADES PUBLISHING LTD,0040-5795,1608-3431,"ENGINEERING, CHEMICAL",SCIE,0.4,176/183
University Politehnica of Bucharest Scientific Bulletin Series C-Electrical Engineering and Computer Science,U POLITEH BUCH SER C,POLYTECHNIC UNIV BUCHAREST,2286-3540,2286-3559,"ENGINEERING, ELECTRICAL & ELECTRONIC",ESCI,0.4,360/369
YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN,YAKUGAKU ZASSHI,PHARMACEUTICAL SOC JAPAN,0031-6903,1347-5231,PHARMACOLOGY & PHARMACY,SCIE,0.4,348/356
Clio America,CLIO AM,UNIV MAGDALENA,1909-941X,2389-7848,BUSINESS,ESCI,0.4,302/323
Current Medicine Research and Practice,CURR MED RES PRACT,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2352-0817,2352-0825,Multiple,ESCI,0.4,257/336
Glass Technology-European Journal of Glass Science and Technology Part A,GLASS TECHNOL-PART A,SOC GLASS TECHNOLOGY,1753-3546,1753-3554,"MATERIALS SCIENCE, CERAMICS",SCIE,0.4,33/34
INGE CUC,INGE CUC,UNIV COSTA,0122-6517,2382-4700,"ENGINEERING, MULTIDISCIPLINARY",ESCI,0.4,161/178
INVESTIGACION CLINICA,INVEST CLIN,INST INVESTIGACION CLINICA,0535-5133,2477-9393,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,0.4,180/191
Journal of Surface Investigation,J SURF INVESTIG,PLEIADES PUBLISHING LTD,1027-4510,1819-7094,"PHYSICS, CONDENSED MATTER",ESCI,0.4,79/81
Journal of the Korean Chemical Society-Daehan Hwahak Hoe Jee,J KOREAN CHEM SOC,KOREAN CHEMICAL SOC,1017-2548,2234-8530,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,0.4,234/250
Research Journal of Biotechnology,RES J BIOTECHNOL,RESEARCH JOURNAL BIOTECHNOLOGY,0973-6263,2278-4535,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,ESCI,0.4,177/180
Revista de Pedagogia Universitaria y Didactica del Derecho,REV PEDAGOG UNIV DID,"UNIV CHILE, FAC DERECHO",0719-5885,0719-5885,EDUCATION & EDUCATIONAL RESEARCH,ESCI,0.4,633/760
Revista General de Derecho Constitucional,REV GEN DERECHO CONS,IUSTEL,1886-7650,1886-6212,LAW,ESCI,0.4,284/443
Revista Virtual de Quimica,REV VIRTUAL QUIM,SOC BRASILEIRA QUIMICA,1984-6835,1984-6835,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,0.4,234/250
Romanian Astronomical Journal,ROM ASTRON J,EDITURA ACAD ROMANE,1220-5168,2285-3758,ASTRONOMY & ASTROPHYSICS,ESCI,0.4,83/86
Romanian Journal of Transport Infrastructure,ROM J TRANSP INFRAST,Paradigm Publishing Services-De Gruyter Brill Sp Zoo,2286-2218,2286-2218,"ENGINEERING, CIVIL",ESCI,0.4,182/193
AD-minister,AD-MINIST,UNIV EAFIT,1692-0279,2256-4322,BUSINESS,ESCI,0.4,302/323
CHEMICKE LISTY,CHEM LISTY,CHEMICKE LISTY,0009-2770,1213-7103,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,0.4,234/250
Contabilidad y Negocios,CONTAB NEG,PONTIFICIA UNIV CATOLICA PERU,1992-1896,2221-724X,"BUSINESS, FINANCE",ESCI,0.4,213/243
Contexto,CONTEXTO-VENEZUELA,"UNIV ANDES, TACHIRA",1315-9453,2610-7902,LITERATURE,ESCI,0.4,N/A
Ingineria Automobilului,ING AUTOMOB,SOC AUTOMOTIVE ENGINEERS ROMANIA,1842-4074,1842-4074,"ENGINEERING, MECHANICAL",ESCI,0.4,179/184
International Cardiovascular Research Journal,INT CARDIOVASC RES J,BRIEFLANDS,2251-9130,2251-9149,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,0.4,220/237
Journal of the Japan Institute of Energy,J JPN I ENERGY,JAPAN INST ENERGY,0916-8753,1882-6121,ENERGY & FUELS,ESCI,0.4,186/191
Ochrona Przed Korozja,OCHR PRZED KOROZ,WYDAWNICTWO SIGMA-NOT SP ZOO,0473-7733,2449-9501,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,0.4,463/472
Physical and Chemical Aspects of the Study of Clusters Nanostructures and Nanomaterials,PHYS CHEM ASPECTS ST,TVER STATE UNIV,2226-4442,2658-4360,Multiple,ESCI,0.4,147/148
Revista Medica del Uruguay,REV MED URUG,SINDICATO MEDICO URUGUAY,0303-3295,1688-0390,"MEDICINE, GENERAL & INTERNAL",ESCI,0.4,257/336
Revista Peruana de Investigacion Educativa,REV PERU INVESTIG ED,SOC INVESTIGACION EDUCATIVA PERUANA,2076-6300,2077-4168,EDUCATION & EDUCATIONAL RESEARCH,ESCI,0.4,633/760
Revue d Economie Regionale et Urbaine,REV ECON REG URBAINE,ARMAND COLIN,0180-7307,2107-0865,ECONOMICS,ESCI,0.4,554/626
STAPS-Sciences et Techniques des Activites Physiques et Sportives,STAPS-SCI TECH ACT P,DE BOECK UNIV,0247-106X,1782-1568,"SOCIAL SCIENCES, INTERDISCIPLINARY",ESCI,0.4,208/275
UHOD-Uluslararasi Hematoloji-Onkoloji Dergisi,UHOD-ULUSLAR HEMATOL,AKAD DOKTORLAR YAYINEVI,1306-133X,1306-133X,ONCOLOGY,SCIE,0.4,322/333
Universitas Psychologica,UNIV PSYCHOL,"PONTIFICA UNIV JAVERIANA, FAC PSYCH",1657-9267,N/A,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,0.4,198/222
US PHARMACIST,US PHARM,JOBSON PUBLISHING LLC,0148-4818,2331-3501,PHARMACOLOGY & PHARMACY,ESCI,0.4,348/356
Asian Journal of Management Cases,ASIAN J MANAG CASES,SAGE PUBLICATIONS INDIA PVT LTD,0972-8201,0973-0621,MANAGEMENT,ESCI,0.4,399/426
Physio-Geo,PHYSIO-GEO,REVUES ORG,1958-573X,1958-573X,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,0.4,244/259
Revista Habitat Sustentable,REV HABITAT SUSTENTA,UNIV BIO-BIO,0719-0700,0719-0700,"ENGINEERING, ENVIRONMENTAL",ESCI,0.4,86/88
CORNELL INTERNATIONAL LAW JOURNAL,CORNELL INT LAW J,CORNELL INT LAW JOURNAL,0010-8812,1930-7977,Multiple,SSCI,0.4,149/173
Revista General de Derecho Canonico y Derecho Eclesiastico del Estado,REV GEN DERECHO CANO,IUSTEL,1696-9669,1696-9669,LAW,ESCI,0.4,284/443
SCIENTIST,SCIENTIST,LABX MEDIA GROUP,0890-3670,1547-0806,Multiple,SSCI,0.4,136/172
Kino-The Western Undergraduate Journal of Film Studies,KINO,UNIV WESTERN ONTARIO,1923-7561,1923-7561,"FILM, RADIO, TELEVISION",ESCI,0.4,N/A
FRENCH STUDIES,FR STUD,LIVERPOOL UNIV PRESS,0016-1128,1468-2931,"LITERATURE, ROMANCE",AHCI,0.3,N/A
AMERICAN JOURNAL OF PHILOLOGY,AM J PHILOLOGY,JOHNS HOPKINS UNIV PRESS,0002-9475,1086-3168,CLASSICS,AHCI,0.3,N/A
Law & Literature,LAW LIT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1535-685X,1541-2601,LITERATURE,AHCI,0.3,N/A
JOURNAL OF AMERICAN FOLKLORE,J AM FOLKLORE,AMER FOLKLORE SOC,0021-8715,1535-1882,FOLKLORE,AHCI,0.3,N/A
Milton Studies,MILTON STUD,PENN STATE UNIV PRESS,0076-8820,2330-796X,POETRY,AHCI,0.3,N/A
Early Theatre,EARLY THEATRE,ITER,1206-9078,1206-9078,THEATER,ESCI,0.3,N/A
NEW LITERARY HISTORY,NEW LITERARY HIST,JOHNS HOPKINS UNIV PRESS,0028-6087,1080-661X,LITERATURE,AHCI,0.3,N/A
Nueva Revista Filologia Hispanica,NUEVA REV FILOL HISP,"COLEGIO MEXICO, A C, DEPT PUBLICACIONES",0185-0121,2448-6558,"LITERATURE, ROMANCE",ESCI,0.3,N/A
Cambridge Classical Journal,CAMB CLASS J,CAMBRIDGE UNIV PRESS,1750-2705,2047-993X,CLASSICS,AHCI,0.3,N/A
ENGLISH STUDIES IN AFRICA,ENGL STUD AFR,TAYLOR & FRANCIS LTD,0013-8398,1943-8117,LITERATURE,AHCI,0.3,N/A
Middle Eastern Literatures,MIDDLE EAST LIT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1475-262X,1475-2638,LITERATURE,AHCI,0.3,N/A
Gripla,GRIPLA,ARNI MAGNUSSON INSTITUTE ICELANDIC STUDIES,1018-5011,N/A,Multiple,AHCI,0.3,N/A
Asian Ethnology,ASIAN ETHNOL,"NANZAN UNIV, NANZAN INST RELIGION & CULTURE",1882-6865,1882-6865,Multiple,AHCI,0.3,N/A
South African Theatre Journal,S AFR THEATRE J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1013-7548,2163-7660,THEATER,ESCI,0.3,N/A
Popular Music,POP MUSIC,CAMBRIDGE UNIV PRESS,0261-1430,1474-0095,MUSIC,AHCI,0.3,N/A
Word and Text-A Journal of Literary Studies and Linguistics,WORD TEXT,UNIV PETROL-GAZE PLOIESTI,2069-9271,2247-9163,LITERARY THEORY & CRITICISM,ESCI,0.3,N/A
COMPARATIVE LITERATURE,COMP LITERATURE,DUKE UNIV PRESS,0010-4124,1945-8517,LITERATURE,AHCI,0.3,N/A
Literature and Theology,LIT THEOL,OXFORD UNIV PRESS,0269-1205,1477-4623,Multiple,AHCI,0.3,N/A
Bronte Studies,BRONTE STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1474-8932,1745-8226,"LITERATURE, BRITISH ISLES",AHCI,0.3,N/A
THEATRE NOTEBOOK,THEATRE NOTEBOOK,SOC THEATRE RES,0040-5523,2051-8358,THEATER,AHCI,0.3,N/A
International Research in Childrens Literature,INT RES CHILD LIT,EDINBURGH UNIV PRESS,1755-6198,1755-6201,LITERATURE,AHCI,0.3,N/A
Theatre Dance and Performance Training,THEATR DANCE PERFORM,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1944-3927,1944-3919,Multiple,AHCI,0.3,N/A
Journal of Postcolonial Writing,J POSTCOLONIAL WRIT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1744-9855,1744-9863,LITERATURE,AHCI,0.3,N/A
Literature Compass,LIT COMPASS,WILEY,1741-4113,1741-4113,LITERATURE,AHCI,0.3,N/A
Studies in Australasian Cinema,STUD AUSTRALAS CINE,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1750-3175,1750-3183,"FILM, RADIO, TELEVISION",ESCI,0.3,N/A
Christian Bioethics,CHRIST BIOET,OXFORD UNIV PRESS,1380-3603,1744-4195,Multiple,AHCI,0.3,N/A
CONTEMPORARY LITERATURE,CONTEMP LITERATURE,UNIV WISCONSIN PRESS,0010-7484,1548-9949,LITERATURE,AHCI,0.3,N/A
REVIEW OF ENGLISH STUDIES,REV ENGL STUD,OXFORD UNIV PRESS,0034-6551,1471-6968,LITERATURE,AHCI,0.3,N/A
CRITIQUE-STUDIES IN CONTEMPORARY FICTION,CRITIQUE-ST CONTEMP,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0011-1619,1939-9138,LITERATURE,AHCI,0.3,N/A
ORBIS LITTERARUM,ORBIS LIT,WILEY,0105-7510,1600-0730,LITERATURE,AHCI,0.3,N/A
Public History Review,PUBLIC HIST REV,"UNIV TECHNOLOGY, SYDNEY-UTS EPRESS",1037-9851,1833-4989,HISTORY,ESCI,0.3,223/553
TEXTUAL PRACTICE,TEXTUAL PRACT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0950-236X,1470-1308,LITERATURE,AHCI,0.3,N/A
Bylye Gody,BYLYE GODY,Cherkas Global Univ Press,2073-9745,2310-0028,HISTORY,ESCI,0.3,223/553
Journal of Ancient Near Eastern History,J ANC NEAR E HIST,WALTER DE GRUYTER GMBH,2328-9554,2328-9562,Multiple,ESCI,0.3,N/A
Journal of Jesuit Studies,J JESUIT STUD,BRILL,2214-1324,2214-1332,HISTORY,ESCI,0.3,223/553
JOURNAL OF BECKETT STUDIES,J BECKETT STUD,EDINBURGH UNIV PRESS,0309-5207,1759-7811,Multiple,AHCI,0.3,N/A
Itinerario-Journal of Imperial and Global Interactions,ITINERARIO,CAMBRIDGE UNIV PRESS,0165-1153,2041-2827,HISTORY,"AHCI, SSCI",0.3,223/553
Romanica Olomucensia,ROMANICA OLOMUC,"PALACKY UNIV, DEPT ROMANCE PHILOSOPHICAL FAC",1803-4136,2571-0966,"LITERATURE, ROMANCE",ESCI,0.3,N/A
SOUTH AFRICAN HISTORICAL JOURNAL,S AFR HIST J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0258-2473,1726-1686,HISTORY,"AHCI, SSCI",0.3,223/553
Problemy Istoricheskoi Poetiki,PROBL ISTOR POET,PETROZAVODSK STATE UNIV,1026-9479,2411-4642,LITERARY THEORY & CRITICISM,ESCI,0.3,N/A
GLOTTA-ZEITSCHRIFT FUR GRIECHISCHE UND LATEINISCHE SPRACHE,GLOTTA,Brill Deutschland GmbH,0017-1298,2196-9043,CLASSICS,AHCI,0.3,N/A
JOURNAL OF ENGLISH AND GERMANIC PHILOLOGY,J ENGL GER PHILOL,UNIV ILLINOIS PRESS,0363-6941,N/A,Multiple,AHCI,0.3,N/A
Journal of Literary Studies,J LIT STUD,UNISA PRESS,0256-4718,1753-5387,Multiple,AHCI,0.3,N/A
Modern & Contemporary France,MOD CONTEMP FR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0963-9489,1469-9869,HISTORY,AHCI,0.3,223/553
MUSIC ANALYSIS,MUSIC ANAL,WILEY,0262-5245,1468-2249,MUSIC,AHCI,0.3,N/A
Mark Twain Annual,MARK TWAIN ANNU,PENN STATE UNIV PRESS,1553-0981,1756-2597,"LITERATURE, AMERICAN",ESCI,0.3,N/A
Asiatic-IIUM Journal of English Language and Literature,ASIATIC,"INT ISLAMIC UNIV MALAYSIA, DEPT ENGLISH LANGUAGE & LITERATURE",1985-3106,1985-3106,LITERATURE,ESCI,0.3,N/A
FABULA,FABULA,WALTER DE GRUYTER GMBH,0014-6242,1613-0464,FOLKLORE,AHCI,0.3,N/A
JNT-JOURNAL OF NARRATIVE THEORY,J NARRATIVE THEORY,EASTERN MICHIGAN UNIV,1549-0815,1548-9248,LITERATURE,AHCI,0.3,N/A
ZEITSCHRIFT FUR ROMANISCHE PHILOLOGIE,Z ROMAN PHILOL,WALTER DE GRUYTER GMBH,0049-8661,1865-9063,Multiple,AHCI,0.3,N/A
AJS Review-The Journal of the Association for Jewish Studies,AJS REV,UNIV PENNSYLVANIA PRESS,0364-0094,1475-4541,Multiple,AHCI,0.3,223/553
COMPARATIVE LITERATURE STUDIES,COMP LITERATURE STUD,PENN STATE UNIV PRESS,0010-4132,1528-4212,LITERATURE,AHCI,0.3,N/A
Monatshefte,MONATSHEFTE,UNIV WISCONSIN PRESS,0026-9271,1934-2810,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",ESCI,0.3,N/A
PHILOSOPHY AND RHETORIC,PHILOS RHETORIC,PENN STATE UNIV PRESS,0031-8213,1527-2079,Multiple,AHCI,0.3,N/A
Bookbird-A Journal of International Childrens Literature,BOOKBIRD,JOHNS HOPKINS UNIV PRESS,0006-7377,1918-6983,LITERATURE,ESCI,0.3,N/A
CLASSICAL WORLD,CLASSICAL WORLD,JOHNS HOPKINS UNIV PRESS,0009-8418,1558-9234,CLASSICS,AHCI,0.3,N/A
CONTEMPORARY THEATRE REVIEW,CONTEMP THEATRE REV,TAYLOR & FRANCIS LTD,1048-6801,1477-2264,THEATER,AHCI,0.3,N/A
MEDIEVAL HISTORY JOURNAL,MEDIEV HIST J,SAGE PUBLICATIONS INC,0971-9458,0973-0753,MEDIEVAL & RENAISSANCE STUDIES,AHCI,0.3,N/A
Contributions to the History of Concepts,CONTRIB HIST CONCEPT,BERGHAHN JOURNALS,1807-9326,1874-656X,HISTORY,ESCI,0.3,223/553
Critical Research on Religion,CRIT RES RELIG,SAGE PUBLICATIONS INC,2050-3032,2050-3040,RELIGION,ESCI,0.3,N/A
Philological Encounters,PHILOLOG ENCOUNTERS,BRILL,2451-9189,2451-9197,Multiple,ESCI,0.3,N/A
LATE IMPERIAL CHINA,LATE IMP CHINA,JOHNS HOPKINS UNIV PRESS,0884-3236,1086-3257,HISTORY,AHCI,0.3,223/553
PUBLIC HISTORIAN,PUBL HISTORIAN,UNIV CALIFORNIA PRESS,0272-3433,N/A,HISTORY,AHCI,0.3,223/553
Contemporary Womens Writing,CONTEMP WOMENS WRIT,OXFORD UNIV PRESS,1754-1476,1754-1484,LITERATURE,AHCI,0.3,N/A
Journal of Contemporary Drama in English,J CONTEMP DRAMA ENGL,WALTER DE GRUYTER GMBH,2195-0156,2195-0164,THEATER,ESCI,0.3,N/A
ZEITSCHRIFT FUR ANGLISTIK UND AMERIKANISTIK,Z ANGLIST AM,WALTER DE GRUYTER GMBH,0044-2305,2196-4726,LITERATURE,AHCI,0.3,N/A
European Journal of Science and Theology,EUR J SCI THEOL,ACAD ORGANISATION ENVIRONMENTAL ENGINEERING & SUSTAINABLE DEV,1841-0464,1842-8517,RELIGION,ESCI,0.3,N/A
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,INDIAN ECON SOC HIST,SAGE PUBLICATIONS INDIA PVT LTD,0019-4646,0973-0893,HISTORY,"AHCI, SSCI",0.3,223/553
JOURNAL OF SOUTHERN HISTORY,J SOUTHERN HIST,SOUTHERN HISTORICAL ASSOC,0022-4642,2325-6893,HISTORY,AHCI,0.3,223/553
Empirical Musicology Review,EMPIR MUSICOL REV,"OHIO STATE UNIV, SCH MUSIC",1559-5749,1559-5749,MUSIC,ESCI,0.3,N/A
ENGLISH,ENGLISH,OXFORD UNIV PRESS,0013-8215,1756-1124,LITERATURE,AHCI,0.3,N/A
Revolutionary Russia,REVOLUT RUSS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0954-6545,1743-7873,HISTORY,AHCI,0.3,223/553
Irish Theological Quarterly,IR THEOL Q,SAGE PUBLICATIONS LTD,0021-1400,1752-4989,RELIGION,AHCI,0.3,N/A
Reti Medievali Rivista,RETI MEDIEV RIV,FIRENZE UNIV PRESS,1593-2214,N/A,MEDIEVAL & RENAISSANCE STUDIES,AHCI,0.3,N/A
Irish Economic and Social History,IR ECON SOC HIST,SAGE PUBLICATIONS LTD,0332-4893,2050-4918,HISTORY,ESCI,0.3,223/553
Scottish Literary Review,SCOTT LIT REV,ASSOC SCOTTISH LIT STUD,1756-5634,2050-6678,"LITERATURE, BRITISH ISLES",AHCI,0.3,N/A
ISLE-Interdisciplinary Studies in Literature and Environment,ISLE-INTERDISCIP STU,OXFORD UNIV PRESS INC,1076-0962,1759-1090,LITERATURE,AHCI,0.3,N/A
Scripta Theologica,SCR THEOL,"UNIV NAVARRA, SERVICIO PUBLICACIONES",0036-9764,2254-6227,RELIGION,ESCI,0.3,N/A
Rudn Journal of Russian History,RUDN J RUSS HIST,PEOPLES FRIENDSHIP UNIV RUSSIA,2312-8674,2312-8690,HISTORY,ESCI,0.3,223/553
JOURNAL OF CHURCH AND STATE,J CHURCH STATE,OXFORD UNIV PRESS,0021-969X,2040-4867,RELIGION,AHCI,0.3,N/A
